index,Ungeneralized,Generalized,Generalizations
0,GO:0001501,GO:0017148,GO:0097190
1,GO:0006508,GO:0005581,GO:0046930
2,GO:0007585,GO:0032502,GO:0070693
3,GO:0071300,GO:0016021,GO:0001549
4,GO:0046872,GO:0007165,GO:0009923
5,GO:0006338,GO:0000790,GO:0097361
6,GO:0031642,GO:0042025,GO:0034044
7,GO:0032967,GO:0005615,GO:0030874
8,GO:0071391,GO:0030855,GO:0034099
9,GO:0071392,GO:1903561,GO:0120216
10,GO:0000977,GO:0006954,GO:0098590
11,GO:0060687,GO:0005634,GO:1990563
12,GO:0006367,GO:0016020,GO:0071212
13,GO:0007267,GO:0005829,GO:0070559
14,GO:0060523,GO:0048863,GO:0007571
15,GO:0060252,GO:0006915,GO:0031250
16,GO:0045944,GO:0005654,GO:1990324
17,GO:0000981,GO:0006355,GO:0019035
18,GO:0016363,GO:0032991,GO:0061017
19,GO:0042060,GO:0005794,GO:0070545
20,GO:0008228,GO:0045334,GO:0060009
21,GO:0003682,GO:0005886,GO:0048646
22,GO:0060749,GO:0009653,GO:0061696
23,GO:0016266,GO:0008584,GO:0030936
24,GO:0030111,GO:0016579,GO:0051482
25,GO:0019371,GO:0010629,GO:0061157
26,GO:0030593,GO:0005788,GO:0071177
27,GO:0070062,GO:0004175,GO:0071947
28,GO:0000278,GO:0005764,GO:0005616
29,GO:0000122,GO:0007204,GO:2000825
30,GO:0036312,GO:0051603,GO:1990252
31,GO:0071346,GO:0005576,GO:0005801
32,GO:0008209,GO:0008236,GO:0034974
33,GO:0051571,GO:0005730,GO:0002437
34,GO:0003674,GO:0008234,
35,GO:0060065,GO:0006955,
36,GO:0031404,GO:0005737,
37,GO:0034121,GO:0006357,
38,GO:0005515,GO:0007200,
39,GO:0017144,GO:0007568,
40,GO:0045624,GO:0002064,
41,GO:0048027,GO:0045893,
42,GO:0017025,GO:0043231,
43,GO:0001093,GO:0051091,
44,GO:0047021,GO:0005887,
45,GO:0032330,GO:0043488,
46,GO:0003073,GO:0005789,
47,GO:0045892,GO:0001547,
48,GO:0004653,GO:0062023,
49,GO:0048020,,
50,GO:0070301,,
51,GO:0001913,,
52,GO:1902036,,
53,GO:2001235,,
54,GO:0006351,,
55,GO:0051087,,
56,GO:0060068,,
57,GO:0043124,,
58,GO:0008360,,
59,GO:0030235,,
60,GO:0008542,,
61,GO:0043966,,
62,GO:0043547,,
63,GO:0090630,,
64,GO:0006869,,
65,GO:0005319,,
66,GO:0042802,,
67,GO:2000491,,
68,GO:0007186,,
69,GO:0044267,,
70,GO:0005496,,
71,GO:0019904,,
72,GO:0003723,,
73,GO:0001666,,
74,GO:0030134,,
75,GO:0005925,,
76,GO:0001223,,
77,GO:0000139,,
78,GO:0042373,,
79,GO:0033146,,
80,GO:0019901,,
81,GO:0004860,,
82,GO:0019902,,
83,GO:0005623,,
84,GO:0048146,,
85,GO:0071168,,
86,GO:0008134,,
87,GO:0006888,,
88,GO:0007616,,
89,GO:0005102,,
90,GO:0000978,,
91,GO:2000845,,
92,GO:0071347,,
93,GO:0002778,,
94,GO:0016655,,
95,GO:0006874,,
96,GO:0030141,,
97,GO:0031638,,
98,GO:0035327,,
99,GO:0035578,,
100,GO:0005509,,
101,GO:0006366,,
102,GO:0033116,,
103,GO:0005575,,
104,GO:0043525,,
105,GO:0071636,,
106,GO:0030518,,
107,GO:0048029,,
108,GO:0030520,,
109,GO:0002224,,
110,GO:0030284,,
111,GO:0045182,,
112,GO:0010863,,
113,GO:0005671,,
114,GO:0051574,,
115,GO:0051897,,
116,GO:0005813,,
117,GO:0019899,,
118,GO:0016505,,
119,GO:1903052,,
120,GO:0060750,,
121,GO:0043312,,
122,GO:0003730,,
123,GO:0000173,,
124,GO:0004090,,
125,GO:1903799,,
126,GO:0061844,,
127,GO:0031640,,
128,GO:0004879,,
129,GO:0043433,,
130,GO:0051117,,
131,GO:0048208,,
132,GO:0034056,,
133,GO:0008283,,
134,GO:0043627,,
135,GO:1904899,,
136,GO:0070374,,
137,GO:0005096,,
138,GO:0048245,,
139,GO:0030331,,
140,GO:0006412,,
141,GO:0048661,,
142,GO:0042981,,
143,GO:0016811,,
144,GO:0008150,,
145,GO:0048247,,
146,GO:0043621,,
147,GO:0032355,,
148,GO:0008013,,
149,GO:1903980,,
150,GO:0017137,,
151,GO:0008270,,
152,GO:0042599,,
153,GO:0003700,,
154,GO:0006935,,
155,GO:0002548,,
156,GO:0051028,,
157,GO:0097550,,
158,GO:0008009,,
159,GO:0050727,,
160,GO:0010033,,
161,GO:0007010,,
162,GO:0060527,,
163,GO:0030246,,
164,GO:0071356,,
165,GO:0006886,,
166,GO:0007173,,
167,GO:0016525,,
168,GO:0097197,,
169,GO:0042035,,
170,GO:0070098,,
171,GO:0001228,,
172,GO:0004252,,
173,GO:0055114,,
174,GO:0045899,,
175,GO:0060745,,
176,GO:0050221,,
177,GO:0004197,,
