label	data
2	"Cardinal  criticises  Iraq  war  cost  |||    Billions  of  pounds  spent  on  conflict  in  Iraq  and  in  the  Middle  East  should  have  been  used  to  reduce  poverty,  Cardinal  Cormac  Murphy-O'Connor  has  said.  |||    The  head  of  the  Catholic  Church  in  England  and  Wales  made  the  comments  on  BBC  Radio  4  and  will  re-iterate  his  stance  in  his  Christmas  Midnight  Mass.  The  cardinal  used  a  Christmas  message  to  denounce  the  war  in  Iraq  as  a  ""terrible""  waste  of  money.  He  and  the  Archbishop  of  Canterbury  have  both  spoken  out  about  the  war.  |||    Speaking  on  BBC  Radio  4's  Thought  for  the  Day  slot,  he  criticised  the  fact  that  ""billions""  have  been  spent  on  war,  instead  of  being  used  to  bring  people  ""out  of  dire  poverty  and  malnourishment  and  disease"".  The  cardinal  said  2005  should  be  the  year  for  campaigning  to  ""make  history  poverty"".  He  added:  ""If  the  governments  of  the  rich  countries  were  as  ready  to  devote  to  peace  the  resources  they  are  willing  to  commit  to  war,  that  would  be  to  see  with  new  eyes  and  speak  with  a  new  voice  and  perhaps  then  others  would  listen  to  us  with  new  ears.""  The  cardinal  will  touch  on  this  theme  again  on  Friday  night  when  he  will  tell  the  congregation  of  2,000  at  Westminster  Cathedral  that  peace  is  ""worth,  always,  striving  for"".  |||    ""How  is  it  that  peace  has  not  arrived?,""  the  cardinal  will  ask.  ""How  is  it  that  there  is  war  in  Iraq,  violence  in  the  Holy  Land,  and  the  horror  of  pain  and  death  amongst  the  poor  and  deprived  who  suffer  from  injustice  and  thus  do  not  find  peace?""  ""How  can  one  wish  a  happy  Christmas  for  our  fellow  Christians  in  Iraq  or  in  the  Holy  Land  or  those  who  suffer  in  Africa  unless  you  and  I,  in  whatever  way  is  open  to  us,  say  and  do  what  makes  for  peace?""  Both  the  Cardinal  and  Archbishop  of  Canterbury  Dr  Rowan  Williams  appealed  for  the  weapons  inspectors  to  be  given  more  time  in  Iraq  before  the  war  started.  Dr  Williams  has  since  criticised  the  government  over  its  case  for  war,  saying  the  failure  to  find  weapons  of  mass  destruction  had  damaged  faith  in  the  political  system.  |||    On  Friday,  the  Cardinal  will  ask  the  congregation  to  search  for  peace.  ""It  is  possible,  it  is  real,  it  is  worth,  always,  striving  for,  because  of  the  promise  of  Our  Saviour,""  he  will  say.  ""I  also  wish  you  peace  in  your  homes  because  peace  in  your  home  is  the  beginning  of  peace  in  the  homes  of  the  community.  ""  A  spokesman  said  Downing  Street  had  no  comment  to  make.  But  Prime  Minister  Tony  Blair  has  said  he  will  put  Africa  at  the  top  of  the  agenda  when  Britain  chairs  the  G8  summit  next  year." 

0	"Barclays  profits  hit  record  level  |||    Barclays,  the  UK's  third-biggest  bank,  has  seen  annual  pre-tax  profits  climb  to  record  levels  boosted  by  a  sharp  rise  in  business  at  its  investment  arm.  |||    Profits  for  the  year  to  31  December  rose  20%  to  £4.6bn  ($8.6bn).  Barclays'  chief  John  Varley  said  the  bank  had  ""caught  the  winds""  of  a  very  strong  world  economy.  Earnings  at  Barclays  Capital  investment  bank  rose  25%  to  £1.04bn,  but  investment  in  branch  operations  held  back  growth  in  its  UK  retail  business.  |||    The  group  is  the  first  of  Britain's  five  big  banks  to  report  2004  results.  According  to  analysts'  forecasts,  HSBC,  the  biggest  UK  bank  by  stock  market  valuation,  will  report  profits  of  £9.4bn  later  this  month.  |||    Barclays  results  were  in  line  with  market  expectations.  Its  Global  Investors  wing  made  £347m,  an  82%  jump  on  2003  figures.  Profits  at  Barclaycard  rose  by  5%  to  £801m  but  were  said  to  have  been  affected  by  a  series  of  interest  rate  rises  and  investment  to  grow  its  customer  base.  The  bank  also  blamed  margins  pressure  on  its  mortgage  business  and  spending  on  its  branches  over  the  past  year  for  a  1%  fall  in  profits  in  its  UK  retail  division  to  £1.13bn.  |||    ""The  outlook  for  2005  is  good  as  a  result  of  balance  sheet  growth  and  investments  made  in  2004,""  Mr  Varley  said.  Barclays  cautioned  that  growth  this  year  may  be  slower  than  in  2004  on  the  back  of  softer  US  and  Chinese  economies  and  the  impact  of  interest  rate  rises  on  household  spending  in  the  UK.  It  added  its  bid  to  acquire  a  controlling  stake  in  South  Africa's  leading  retail  bank  Absa,  was  being  considered  by  regulatory  authorities.  Speaking  on  BBC  Radio  4,  Mr  Varley  declined  to  be  drawn  on  reports  that  Barclays  had  held  merger  talks  with  US  bank  Wells  Fargo.  A  tie-up  between  Barclays  and  California-based  Wells  Fargo  would  create  the  world's  fourth  biggest  bank,  valued  at  $180bn.  At  1405  GMT,  shares  in  Barclays  were  trading  down  0.67%  at  590  pence.  ""The  headline  numbers  are  in  line,  but  the  story  is  costs,""  said  analyst  Alex  Potter  at  Lehman  Brothers.  ""They  are  a  bit  more  aggressive  than  we  had  expected.  The  cost  overshoot  is  not  in  Barclays  Capital  but  in  the  UK  bank.""" 

2	"Blair  and  Brown  criticised  by  MPs  |||    Labour  MPs  have  angrily  criticised  Tony  Blair  and  Gordon  Brown  amid  renewed  reports  of  a  rift  between  the  two  men.  |||    A  meeting  of  the  Parliamentary  Labour  Party  saw  a  succession  of  normally  loyal  members  warn  that  feuding  could  jeopardise  Labour's  election  hopes.  The  PM  insisted  nothing  would  derail  Labour's  campaign,  despite  a  new  book  saying  he  has  upset  his  chancellor  by  backing  out  of  a  pledge  to  stand  aside.  Mr  Brown  will  again  be  in  the  public  eye  at  the  party's  new  poster  launch.  In  what  the  party  had  hoped  would  be  perceived  as  a  show  of  unity,  he  is  due  to  line  up  alongside  Alan  Milburn  -  the  man  controversially  appointed  as  the  party's  election  supremo  -  and  deputy  leader  John  Prescott  for  the  event  in  London  on  Tuesday.  Relations  between  Mr  Brown  and  Mr  Milburn  are  widely  reported  to  be  cool  ever  since  Mr  Blair  brought  the  latter  back  into  the  Cabinet  to  run  Labour's  election  campaign,  a  role  successfully  carried  out  by  Mr  Brown  in  both  1997  and  2001.  |||    Mr  Blair  told  the  Parliamentary  Labour  Party  on  Monday:  ""I  know  from  everyone  here,  in  Cabinet  and  government,  nothing  is  going  to  get  in  the  way  of  a  unified  Labour  Party  with  a  unified  position  and  winning  the  third  term  people  desperately  need.""  |||    The  prime  minister  and  his  chancellor  arrived  within  seconds  of  each  other  for  the  meeting  of  the  PLP  and  were  seemingly  in  good  spirits  as  it  started.  New  speculation  about  the  state  of  their  relationship  was  sparked  by  claims  in  Brown's  Britain,  by  Sunday  Telegraph  journalist  Robert  Peston,  which  suggested  Mr  Blair  went  back  on  a  pledge  to  make  way  for  Mr  Brown.  Labour's  Paul  Flynn  said  Mr  Blair  and  Mr  Brown  had  a  ""scorching""  from  MPs  adding:  ""It  was  a  Parliamentary  Labour  Party  meeting  like  no  other.""  |||    Backbencher  Stephen  Pound  said  some  MPs  had  threatend  to  expose  those  fuelling  the  reports  if  Mr  Blair  and  Mr  Brown  did  not  ""stop  this  nonsense,  this  poisonous  briefing"".  Lord  Campbell-Savours,  a  former  MP,  challenged  Mr  Brown  to  deny  reports  that  he  had  told  the  prime  minister  he  did  not  believe  anything  he  said.  Mr  Prescott  said  MPs  were  entitled  to  complain  about  discipline  after  reading  recent  press  reports.  |||    ""They  told  us  very  clearly,  it  was  the  troops  telling  the  leaders:  get  in  line,""  he  told  BBC  Radio  4's  Today  on  Tuesday.  Mr  Prescott  said  there  were  occasional  disagreements  in  any  government.  But  he  argued  Mr  Blair  and  Mr  Brown  could  work  successfully  together  and  had  produced  a  strong  economy  and  better  public  services.  |||    The  new  book  claims  Mr  Prescott  hosted  a  dinner  in  November  2003  where  the  prime  minister  told  Mr  Brown  he  would  stand  down  before  the  next  election  because  he  had  lost  trust  over  the  Iraq  war.  He  had  then  changed  his  mind  in  June  2004,  following  intervention  from  Cabinet  allies  and  suspicion  that  the  chancellor  was  manoeuvring  against  him,  writes  Mr  Peston.  Mr  Prescott  said  there  was  a  dinner  but  the  discussions  were  confidential.  ""Of  course  as  a  waiter  for  10  years  I  have  a  professional  ability  here,""  he  joked.  Mr  Blair  has  insisted  he  has  done  no  deals  over  the  premiership  while  Mr  Brown  says  he  will  not  let  ""gossip""  distract  him  from  helping  a  unified  election  campaign.  The  Conservatives  say  the  two  men  are  behaving  like  squabbling  schoolboys  and  the  Liberal  Democrats  claim  personal  ambition  is  obstructing  good  government." 

0	"Turkey  knocks  six  zeros  off  lira  |||    Turkey  is  to  relaunch  its  currency  on  Saturday,  knocking  six  zeros  off  the  lira  in  the  hope  of  boosting  trade  and  powering  its  growing  economy.  |||    The  change  will  see  the  end  of  such  dizzyingly-high  denominations  as  five  million  lira  -  enough  for  a  short  taxi  ride  -  and  the  20m  note,  worth  $15.  These  valuations  were  the  product  of  decades  of  inflation  which,  as  recently  as  2001,  was  as  high  as  70%.  Inflation  has  since  been  tamed  and  economic  prospects  are  improving.  |||    The  currency  -  officially  to  be  known  as  the  new  lira  -  will  be  launched  at  midnight  on  1  January.  From  that  point,  the  one-million  lira  note  will  become  the  new  one-lira  coin.  The  government  hopes  the  change  will  be  seen  as  a  promise  of  growing  economic  stability  as  Turkey  embarks  on  the  long  process  of  trying  to  join  the  European  Union.  |||    On  an  everyday  level,  it  is  hoped  the  change  will  stimulate  more  international  trade  and  end  confusion  among  foreign  investors  and  Turks  alike.  ""The  transition  to  the  new  Turkish  lira  shows  clearly  that  our  economy  has  broken  the  vicious  circle  that  it  was  imprisoned  in  for  long  years,""  said  Sureyya  Serdengecti,  head  of  the  Turkish  Central  Bank.  ""The  new  lira  is  also  the  symbol  of  the  stable  economy  that  we  dreamed  of  for  long  years.""  |||    The  Turkish  economy  teetered  on  the  brink  of  collapse  in  2001  when  the  lira  plunged  in  value  and  two  million  people  lost  their  jobs.  |||    Turkey  had  to  turn  to  the  International  Monetary  Fund  for  financial  assistance,  accepting  a  $18bn  loan  in  return  for  pushing  through  a  wide-ranging  austerity  programme.  These  tough  measures  have  borne  fruit.  Inflation  fell  below  10%  earlier  this  year  for  the  first  time  in  decades  while  exports  are  up  30%  this  year.  Meanwhile,  the  economy  is  expanding  at  a  healthy  rate,  with  7.9%  growth  expected  in  2004.  The  government  hopes  that  the  new  currency  will  cement  the  country's  economic  progress,  two  weeks  after  EU  leaders  set  a  date  for  the  start  of  Turkey's  accession  talks.  |||    The  slimmed-down  lira  is  likely  to  be  widely  welcomed  by  the  business  community.  |||    ""The  Turkish  lira  has  been  like  funny  money,""  Tevfik  Aksoy,  chief  Turkish  economist  for  Deutsche  Bank,  told  Associated  Press.  ""Now  at  least  in  cosmetic  terms  it  will  look  like  real  currency.""  However,  some  do  not  feel  quite  so  happy  about  seeing  the  nominal  value  of  their  investments  reduced.  ""If  a  person  has  10  billion  lira  in  investments  this  will  suddenly  decrease,""  shop  owner  Hayriye  Evren,  told  Associated  Press.  ""This  will  definitely  affect  people  psychologically.""" 

2	"'EU  referendum  could  cost  £80m'  |||    It  could  cost  £80m  to  run  a  UK  referendum  on  the  European  constitution,  ministers  have  revealed.  |||    In  a  written  parliamentary  answer,  Constitutional  Affairs  Minister  Chris  Leslie  said  the  poll  was  likely  to  cost  the  same  as  a  general  election.  Mr  Leslie  said  the  cost  could  not  be  compared  with  the  only  previous  British  referendum,  held  30  years  ago.  Ministers  say  the  constitution  would  make  the  European  Union  work  better  but  critics  fear  creating  a  ""super  state"".  Labour  MP  John  Cryer,  whose  question  revealed  the  price  estimate,  said  the  cost  surprised  him  but  was  not  a  central  factor  as  it  was  important  people  had  their  say.  But  he  said  it  would  have  been  better  to  have  rejected  the  constitution  so  avoiding  the  need  for  a  referendum.  The  2001  election  cost  £80m.  No  date  for  the  vote  has  been  set  but  Foreign  Secretary  Jack  Straw  has  suggested  it  is  unlikely  to  be  held  until  early  2006  -  after  the  predicted  date  for  the  next  election.  Most  voters  said  the  UK  should  stay  in  the  Common  Market  in  the  1975  referendum." 

