label	data

2	"Labour  plans  maternity  pay  rise  |||    Maternity  pay  for  new  mothers  is  to  rise  by  £1,400  as  part  of  new  proposals  announced  by  the  Trade  and  Industry  Secretary  Patricia  Hewitt.  |||    It  would  mean  paid  leave  would  be  increased  to  nine  months  by  2007,  Ms  Hewitt  told  GMTV's  Sunday  programme.  Other  plans  include  letting  maternity  pay  be  given  to  fathers  and  extending  rights  to  parents  of  older  children.  The  Tories  dismissed  the  maternity  pay  plan  as  ""desperate"",  while  the  Liberal  Democrats  said  it  was  misdirected.  |||    Ms  Hewitt  said:  ""We  have  already  doubled  the  length  of  maternity  pay,  it  was  13  weeks  when  we  were  elected,  we  have  already  taken  it  up  to  26  weeks.  ""We  are  going  to  extend  the  pay  to  nine  months  by  2007  and  the  aim  is  to  get  it  right  up  to  the  full  12  months  by  the  end  of  the  next  Parliament.""  She  said  new  mothers  were  already  entitled  to  12  months  leave,  but  that  many  women  could  not  take  it  as  only  six  of  those  months  were  paid.  ""We  have  made  a  firm  commitment.  We  will  definitely  extend  the  maternity  pay,  from  the  six  months  where  it  now  is  to  nine  months,  that's  the  extra  £1,400.""  She  said  ministers  would  consult  on  other  proposals  that  could  see  fathers  being  allowed  to  take  some  of  their  partner's  maternity  pay  or  leave  period,  or  extending  the  rights  of  flexible  working  to  carers  or  parents  of  older  children.  The  Shadow  Secretary  of  State  for  the  Family,  Theresa  May,  said:  ""These  plans  were  announced  by  Gordon  Brown  in  his  pre-budget  review  in  December  and  Tony  Blair  is  now  recycling  it  in  his  desperate  bid  to  win  back  women  voters.""  |||    She  said  the  Conservatives  would  announce  their  proposals  closer  to  the  General  Election.  Liberal  Democrat  spokeswoman  for  women  Sandra  Gidley  said:  ""While  mothers  would  welcome  any  extra  maternity  pay  the  Liberal  Democrats  feel  this  money  is  being  misdirected.""  She  said  her  party  would  boost  maternity  pay  in  the  first  six  months  to  allow  more  women  to  stay  at  home  in  that  time.  |||    Ms  Hewitt  also  stressed  the  plans  would  be  paid  for  by  taxpayers,  not  employers.  But  David  Frost,  director  general  of  the  British  Chambers  of  Commerce,  warned  that  many  small  firms  could  be  ""crippled""  by  the  move.  ""While  the  majority  of  any  salary  costs  may  be  covered  by  the  government's  statutory  pay,  recruitment  costs,  advertising  costs,  retraining  costs  and  the  strain  on  the  company  will  not  be,""  he  said.  Further  details  of  the  government's  plans  will  be  outlined  on  Monday.  New  mothers  are  currently  entitled  to  90%  of  average  earnings  for  the  first  six  weeks  after  giving  birth,  followed  by  £102.80  a  week  until  the  baby  is  six  months  old." 

0	"Bank  set  to  leave  rates  on  hold  |||    UK  interest  rates  are  set  to  remain  on  hold  at  4.75%  following  the  latest  meeting  of  the  Bank  of  England.  |||    The  Bank's  rate-setting  committee  has  put  up  rates  five  times  in  the  past  year  but  rates  have  been  on  hold  since  September  amid  signs  of  a  slowdown.  Economic  growth  slowed  in  the  previous  quarter,  as  manufacturing  output  fell,  while  consumer  confidence  has  slipped.  There  is  also  growing  evidence  that  the  previously  booming  UK  housing  market  is  now  cooling.  |||    House  prices  fell  0.4%  in  October,  according  to  the  Nationwide,  their  biggest  monthly  fall  since  February  2001.  Last  month,  Bank  of  England  governor  Mervyn  King  said  that  the  economy  had  hit  a  ""softer  patch""  after  rapid  economic  growth  in  the  first  half  of  2004.  Richard  Jeffrey,  chief  economist  at  Bridgewell  Securities,  said  it  was  very  unlikely  that  the  Bank  of  England  would  put  rates  up  again  this  time  around.  ""There  have  been  sufficient  signs  in  the  economy  of  a  slowdown  to  stay  the  Bank  of  England's  hand,""  he  told  BBC  Radio  4's  Today  programme.  However,  Mr  Jeffrey  said  he  believed  the  slowdown  in  economic  activity  was  temporary  and  it  was  dangerous  to  assume  that  rates  had  peaked.  ""I  still  think  interest  rates  are  going  up,""  he  said.  ""We  are  not  out  of  the  woods.""" 

2	"Defiant  hunts  put  ban  to  the  test  |||    Thousands  of  hunt  supporters  have  been  out  on  the  first  day  of  hunting  in  England  and  Wales  after  the  ban  on  hunting  with  dogs  came  into  force.  |||    The  Countryside  Alliance  called  on  hunt  supporters  to  meet  as  normal,  but  vowed  to  stay  within  the  law.  Although  hunting  with  dogs  is  now  a  criminal  offence,  exercising  hounds,  chasing  a  scent  trail  and  flushing  out  foxes  to  be  shot  are  still  legal.  One  anti-hunt  protester  was  taken  to  hospital  after  a  violent  clash  in  Kent.  |||    The  man  suffered  facial  injuries  after  an  incident  involving  a  group  of  men  at  the  end  of  the  East  Kent  Hunt,  near  Ashford.  In  Wiltshire,  police  arrested  four  men  under  the  new  law  suspected  of  hunting  with  dogs.  The  group,  from  South  Wales  and  Ireland,  have  been  released  on  bail  but  police  say  they  may  face  prosecution  under  new  poaching  laws.  |||    It  is  believed  more  than  270  hunts  went  out  on  Saturday,  just  one  day  after  the  ban  came  in.  |||    They  were  greeted  by  big  crowds  in  many  areas  of  the  country,  with  actor  Jeremy  Irons  and  former  minister  Kate  Hoey  among  the  supporters.  Anti-hunt  groups  -  such  as  the  League  Against  Cruel  Sports  -  deployed  100  monitors  at  hunts  to  check  for  illegal  activity.  |||    Mike  Hobday,  from  the  league,  said  video  evidence  of  the  law  being  broken  was  to  be  passed  onto  police.  ""Our  evidence  suggests  that  most  hunts  did  operate  within  the  law,  many  meeting  and  promptly  going  home  and  others  peacefully  exercising  their  hounds  or  drag  hunting.  ""However,  we  have  received  reports  of  what  we  believe  is  clearly  illegal  activity  by  a  number  of  hunts  across  Britain.""  BBC  correspondent  Simon  Hall  at  Postbridge  on  Dartmoor  in  the  West  Country  said  2,000  people  had  turned  out  to  welcome  the  hunt.  |||    And  the  BBC's  Sarah  Mukherjee,  with  the  Beaufort  Hunt  in  Badminton,  Gloucestershire  said  several  hundred  people  had  gathered  on  foot  to  see  the  hunt,  with  150  on  horseback.  Tom  Heap,  BBC  rural  affairs  correspondent,  said  it  appeared  that  hunstman  had,  for  now,  been  sticking  to  the  new  rules.  And  while  there  was  big  turnout  in  support  of  the  hunts  on  Saturday,  he  said  it  remains  to  be  seen  if  the  level  of  backing  can  be  maintained.  |||    Before  riding  out  with  the  hunt,  former  minister  Kate  Hoey  told  crowds:  ""We  will  prevail  and  this  law  will  have  to  be  overturned.""  Judith  Moritz,  in  Melton  Mowbray,  said  anti-hunt  activists  were  out  to  monitor  the  four  hunts  operating  in  that  part  of  Leicestershire,  but  were  outnumbered  by  large  crowds  of  followers.  The  Countryside  Alliance  said  the  meets  would  show  the  new  law  was  ""impossibly  difficult  to  determine""  and  open  to  different  interpretations.  |||    Chief  executive  Simon  Hart  said:  ""There  has  been  hunting  in  England  for  700  years.  This  [ban]  may  take  two  or  three  years,  perhaps  two  or  three  months,  to  unpick.  ""It  will  be  nothing  more  than  a  temporary  break  in  normal  service,  as  broadcasters  say.""  Conservative  family  spokeswoman  Theresa  May  said  if  the  party  was  in  government  again  it  would  make  sure  the  law  was  repealed.  Suffolk  Chief  Constable  Alastair  McWhirter,  the  Association  of  Chief  Police  Officers'  spokesman  on  rural  policing,  told  the  BBC  the  law  would  be  enforced,  although  the  police  would  not  break  up  hunts.  The  Attorney  General  Lord  Goldsmith  has  so  far  not  issued  any  instructions  to  police  on  how  they  should  deal  with  any  hunters  who  do  violate  the  law.  He  said  he  would  consult  the  director  of  public  prosecutions  and  the  police  ""in  the  near  future""  to  decide  what  measures  to  take  on  hunting  prosecutions." 

1	"Connick  Jr  to  lead  Broadway  show  |||    Singer  and  actor  Harry  Connick  Jr  is  to  star  in  a  Broadway  revival  of  1950s  hit  musical  The  Pajama  Game.  |||    He  will  play  the  supervisor  of  a  US  pyjama  factory  who  has  a  romance  with  a  union  activist  during  labour  unrest.  Jeffrey  Richards,  the  show's  co-producer,  said  Connick  was  ""an  actor  of  enormous  charisma  and  skill,  a  wonderful  singer  and  a  bona  fide  star"".  He  has  recently  starred  in  hit  US  comedy  Will  and  Grace  as  the  husband  of  Grace,  played  by  Debra  Messing.  The  musical  will  open  in  November,  said  Mr  Richards,  who  added  that  no  other  casting  had  been  announced  yet.  |||    The  original  book  by  George  Abbott  and  Richard  Bissell  will  be  revised  by  playwright  Peter  Ackerman,  who  co-wrote  the  screenplay  for  the  movie  Ice  Age.  It  has  a  score  by  Richard  Adler  and  Jerry  Ross,  and  Adler  is  writing  two  new  songs  for  the  score,  which  includes  numbers  including  Hey  There,  Small  Talk  and  Steam  Heat.  Connick  appeared  with  his  band  on  Broadway  in  1990,  and  he  wrote  the  score  for  a  musical  based  on  Emile  Zola's  novel  Therese  Raquin,  called  Thou  Shalt  Not.  It  had  a  three-month  run  on  Broadway  in  2001." 

0	"Dollar  drops  on  reserves  concerns  |||    The  US  dollar  has  dropped  against  major  currencies  on  concerns  that  central  banks  may  cut  the  amount  of  dollars  they  hold  in  their  foreign  reserves.  |||    Comments  by  South  Korea's  central  bank  at  the  end  of  last  week  have  sparked  the  recent  round  of  dollar  declines.  South  Korea,  which  has  about  $200bn  in  foreign  reserves,  said  it  plans  instead  to  boost  holdings  of  currencies  such  as  the  Australian  and  Canadian  dollar.  Analysts  reckon  that  other  nations  may  follow  suit  and  now  ditch  the  dollar.  At  1300  GMT,  the  euro  was  up  0.9%  on  the  day  at  1.3187  euros  per  US  dollar.  The  British  pound  had  added  0.5%  to  break  through  the  $1.90  level,  while  the  dollar  had  fallen  by  1.3%  against  the  Japanese  yen  to  trade  at  104.16  yen.  |||    At  the  start  of  the  year,  the  US  currency,  which  had  lost  7%  against  the  euro  in  the  final  three  months  of  2004  and  had  fallen  to  record  lows,  staged  something  of  a  recovery.  |||    Analysts,  however,  pointed  to  the  dollar's  inability  recently  to  extend  that  rally  despite  positive  economic  and  corporate  data,  and  highlighted  the  fact  that  many  of  the  US's  economic  problems  had  not  disappeared.  The  focus  once  again  has  been  on  the  country's  massive  trade  and  budget  deficits,  with  predictions  of  more  dollar  weakness  to  come.  ""The  comments  from  Korea  came  at  a  time  when  sentiment  towards  the  dollar  was  already  softening,""  said  Ian  Gunner,  a  trader  at  Mellon  Financial.  On  Tuesday,  traders  in  Asia  said  that  both  South  Korea  and  Taiwan  had  withdrawn  their  bids  to  buy  dollars  at  the  start  of  the  session.  Mansoor  Mohi-Uddin,  chief  currency  strategist  at  UBS,  said  that  there  was  a  sentiment  in  the  market  that  ""central  banks  from  Asia  and  the  Middle  East  are  buying  euros"".  A  report  last  month  already  showed  that  the  dollar  was  losing  its  allure  as  a  currency  that  offered  rock-steady  returns  and  stability.  Compiled  by  Central  Banking  Publications  and  sponsored  by  the  UK's  Royal  Bank  of  Scotland,  the  survey  found  39  nations  out  of  65  questioned  were  increasing  their  euro  holdings,  with  29  cutting  back  on  the  US  dollar." 

2	"EU  referendum  question  unveiled  |||    The  question  to  be  asked  in  the  referendum  on  the  EU  Constitution  has  been  unveiled  by  the  government.  |||    It  will  be:  ""Should  the  United  Kingdom  approve  the  treaty  establishing  a  constitution  for  the  European  Union?""  The  constitution  will  be  incorporated  into  UK  law  if  there  is  a  yes  vote  in  the  referendum,  expected  in  2006.  Critics  say  the  constitution  is  a  further  step  towards  a  federal  Europe,  but  advocates  say  it  ensures  effective  operation  of  the  enlarged  25-state  EU.  ""If  we  reject  this  treaty,  Britain  will  be  isolated  and  weak  in  Europe,""  said  Foreign  Secretary  Jack  Straw,  who  along  with  the  rest  of  the  Cabinet,  will  back  a  ""yes""  vote.  |||    Patriots  by  definition  wanted  the  UK  to  be  prosperous  at  home  and  strong  and  influential  abroad,  Mr  Straw  said.  ""Our  role  as  a  leading  member  of  the  EU  is  a  crucial  part  of  securing  that.""  |||    Conservative  shadow  foreign  secretary  Michael  Ancram  said  the  referendum  question  ""seems  straightforward"".  But  he  accused  the  government  of  trying  to  confuse  the  issue  by  putting  the  EU  referendum  question  in  the  same  bill  as  the  ratification  of  the  constitution,  when  they  should  be  treated  as  ""two  separate  issues"".  Despite  this  ""underhand  trick,""  the  referendum  bill  stood  ""no  chance  of  becoming  law  before  the  election,""  he  added.  ""This  is  Tony  Blair's  cheap  gesture  to  the  pro-constitution  lobby  while  he  runs  scared  of  a  debate  on  Europe  he  knows  he  cannot  win.""  Neil  O'Brien,  director  of  anti-constitution  group  Vote  No,  said:  ""The  reality  is  that  the  government  doesn't  want  to  discuss  the  EU  constitution  ahead  of  the  election  because  they  know  it  is  extremely  unpopular  with  voters  and  with  business.""  |||    The  UK  Independence  Party  said:  ""If  the  government  believes  that  a  No  vote  would  mean  that  we  should  leave  the  European  Union,  they  should  just  ask  us  if  we  want  to  leave  the  EU.  Then  we  can  be  out  of  it  and  better  off  much  sooner.""  |||    Liberal  Democrat  leader  Charles  Kennedy,  who  backs  the  constitution,  said  he  expected  the  referendum  would  come  in  the  first  half  of  next  year.  He  told  BBC  Radio  4's  Today  programme:  ""The  sooner  we  get  on  with  this,  the  better.""  He  said  the  question  sounded  ""very  neutral""  and  ""balanced,""  adding  it  would  enable  the  argument  ""to  be  enjoined  fairly  and  squarely  on  both  sides"".  Green  MEP  Caroline  Lucas  welcomed  Tony  Blair's  ""courage  in  keeping  his  word""  on  holding  a  referendum.  But  she  added:  ""This  treaty  is  a  flawed  document  that  will  make  the  EU  less  accountable,  less  sustainable,  and  less  just.""  |||    Mr  Blair  signed  the  constitution  at  a  ceremony  in  Rome  in  November,  but  had  already  made  it  clear  the  issue  would  be  put  to  voters  in  a  referendum.  That  promise  came  after  sustained  pressure  from  opposition  parties.  Jack  Straw,  who  argues  the  constitution  reflected  a  ""British  vision  for  Europe""  and  gives  ""national  governments  a  stronger  grip"",  has  said  the  referendum  could  be  held  in  spring  2006.  But  in  an  interview  with  the  Financial  Times,  Mr  Blair  refused  to  be  pinned  down  to  that  date,  saying  Britain  would  hold  a  poll  ""some  time  in  2006  but  when,  I  don't  know"".  The  paper  said  the  prime  minister  ""claimed  ignorance""  of  when  other  countries  were  planning  to  hold  their  referendums." 

1	"Pixies  take  on  Reading  and  Leeds  |||    Pixies,  Foo  Fighters  and  Iron  Maiden  will  headline  this  summer's  Leeds  and  Reading  festivals.  |||    The  trio  of  rock  heavyweights  will  top  the  bill  for  the  three-day  events  at  Bramham  Park,  near  Wetherby,  and  at  Richfield  Avenue,  Reading.  They  are  the  Pixies'  and  Iron  Maiden's  only  UK  festival  gigs,  while  Foo  Fighters  are  also  at  T  In  The  Park.  The  Killers,  Razorlight  and  Queens  of  the  Stone  Age  are  also  playing  the  twin  festivals,  to  be  held  on  26-28  August.  Other  acts  in  this  year's  line-up  include  The  Charlatans,  Marilyn  Manson  and  Kings  of  Leon.  Pete  Doherty's  band  Babyshamblers  will  appear  on  the  NME/Radio  One  stage  along  with  Kasabian,  Black  Rebel  Motorcycle  Club  and  Bloc  Party.  |||    Organiser  Mean  Fiddler  said  more  acts  were  still  to  be  confirmed  for  the  summer  event.  ""We  are  all  very  excited  to  be  going  back  to  Reading  and  intend  to  have  a  fantastic  time,""  said  Iron  Maiden's  Bruce  Dickinson.  ""We're  sure  fans  will  too.""  It  will  the  first  time  the  veteran  British  metal  band  have  played  Reading  in  23  years.  At  Leeds,  Iron  Maiden  will  headline  the  first  day  of  the  festival  on  the  Friday,  Pixies  will  follow  on  Saturday  and  the  Foo  Fighters  will  close  the  event  on  Sunday.  The  Pixies  will  headline  the  first  day  of  Reading,  while  Foo  Fighters  will  play  on  Sunday  and  Iron  Maiden  will  close  the  event.  Weekend  tickets  are  now  on  sale  priced  at  £125  each." 

1	"Beatles  suits  sell  for  $110,000  |||    Four  suits  worn  by  the  Beatles  on  their  Please  Please  Me  album  cover  have  sold  for  $110,00  (£59,000)  at  a  US  auction.  |||    But  some  of  Elvis  Presley's  earliest  recordings  -  including  takes  of  All  Shook  Up  -  failed  to  sell  at  the  Bonhams  and  Butterfields  two-day  sale.  A  private  collection  of  six  tape  recordings  of  Presley  valued  at  between  $30,000  (£16,000)  and  $50,000  (£27,000)  did  not  meet  their  reserve  price.  A  signed  Presley  photograph  managed  to  fetch  $2,115  (£1,140).  |||    Auction  spokesman  Erik  Simon  said  the  Presley  tapes  were  withdrawn  because  ""they  did  not  meet  the  minimum  price  set  by  the  owners"".  |||    He  said  the  family  of  sound  engineer  Thorne  Nogar  did  not  want  to  divulge  the  price  they  had  set  or  the  offers  they  had  received.  The  RCA  tapes  date  from  September  1956  to  September  1957.  The  ""pre-masters""  include  a  take  of  Jailhouse  Rock,  religious  songs,  material  for  his  first  Christmas  album,  and  banter  between  Presley,  members  of  his  band  and  Mr  Nogar.  |||    ""We've  had  them  for  a  lot  of  years,  and  I  think  the  people  should  enjoy  them.  And  frankly,  we  could  use  the  money,""  Mr  Nogar's  son  Stephen,  57,  said  before  the  auction.  Mr  Nogar,  who  died  in  1994  aged  72,  always  used  to  make  two  tapes  of  sessions  as  a  back-up  in  case  RCA  producers  wanted  to  make  late  changes  to  songs.  ""He  called  them  his  'ass-saver'  tapes,""  his  son  said.  The  quality  is  said  to  be  noticeably  crisper  than  that  of  a  new  vinyl  record.  Because  the  family  does  not  own  the  copyright  to  the  music,  the  tapes  could  only  be  sold  for  ""personal  enjoyment""  and  cannot  be  copied  for  commercial  gain.  The  auction  made  a  total  of  $1.1m  (£600,000)." 

