label	data
0	A  photo  taken  by  a  journalist  showing  a  beach  in  Jacksonville,  Fla.,  isn't  from  after  the  government  reopened  the  beach  as  news  reports  have  claimed.
0	Audio  from  WhatsApp  in  which  the  head  of  cardiology  at  the  Gregorio  Marañón  Hospital  states  that  we  are  in  a  moment  of  uncontrolled  coronavirus  infection.
1	Let  us  give  one  example  of  a  difficult  call.  Yesterday  California  announced  8316  tests  had  been  administered  cumulatively.  There  is  a  big  difference  between  8316  tests  and  8316  people  tested  (which  would  imply  ~16k  tests  by  rough  rule  of  thumb).
0	A  video  shows  health  workers  turning  their  back  in  protest  as  an  official  car  passes.  Supposedly  as  if  it  were  a  protest  against  the  Minister  of  Health  of  Spain  Salvador  Illa  or  against  the  Minister  of  Equality  Irene  Montero  at  the  Gregorio  Marañón  hospital.
1	ALERT  LEVEL  UPDATE  (full  update  to  follow):  Auckland  will  stay  at  Alert  Level  3  until  11.59pm  on  30  August  2020.  The  rest  of  the  country  will  continue  to  remain  at  Alert  Level  2.  https://t.co/KH1p82RVxS
0	Russia  to  Supply  Anti-COVID  Avifavir  to  17  Countries.    Based  on  the  Japanese  drug  Favipiravir  several  countries  developed  Covid  drugs,  like  the  Japanese  Avigan  and  US/Chinese  Remdesivir  the  Russian  Avifavir.    Post-registration  clinical  trials  are  complete.  https://t.co/mxW1MgJb0I
0	Trump  And  Kushner  Hate  Science  https://t.co/TmXHFTkHjn  #donaldtrump  #science  #covid19  #jaredkushner  #dranthonyfauci  #nepotism
0	Chinese  pet  owners  are  killing  their  cats  and  dogs  by  throwing  them  out  of  the  window  in  fear  of  their  pets  spreading  the  coronavirus.  This  comes  after  memos  were  issued  by  authorities  for  pet  owners  to  get  rid  of  their  animals.
1	FDA  warns  no  more  use  of  #hydroxychloroquine  to  treat  #COVID19.  https://t.co/ZGMZaOUc69
1	Large  parts  of  the  North  East  are  set  to  be  subjected  to  tighter  lockdown  restrictions  that  will  be  announced  tomorrow  Sky  News  understands  https://t.co/LMpBdqQMvM
1	The  complexities  of  treating  patients  with  metastatic  bladder  cancer.  https://t.co/pln2JdBX9p  https://t.co/nl3DbyJlFw
0	NYT  invented  the  video  of  a  doctor  fighting  coronavirus  in  hospital.
1	The  growing  list  of  skin  conditions  observed  in  #COVID19  patients.  https://t.co/sL8IFP4yGB
0	President  Trump  promoted  hydroxychloroquine  as  a  remedy  for  COVID-19  for  weeks.  Critics  say  he  owns  a  share  in  a  company  that  manufactures  it.  We  looked  into  it:  It’s  a  small  stake  through  a  mutual  fund.  https://t.co/LVFVVTjEF2  https://t.co/DV9oa54XOs
1	A  correction.  Missouri  recently  changed  the  way  they  reported  cases.  We  followed  their  change  but  mistakenly  used  the  older  method  today  which  initially  made  it  seem  like  the  state  had  more  cases.  We  regret  the  error.
0	The  government  is  closing  businesses  to  stop  the  spread  of  coronavirus  even  though  "the  numbers  are  nothing  compared  to  H1N1  or  Ebola.  Everyone  needs  to  realize  our  government  is  up  to  something  ...??�
1	Yesterday  our  laboratories  processed  8185  tests  bringing  the  total  number  of  tests  completed  to  date  to  889717.
1	Texas  reported  4k  new  confirmed  cases  yesterday  with  some  caveats.  Today  the  state  reported  3129  —  without  the  caveats.  https://t.co/1pGhGkmILK
1	Boris  Johnson  is  facing  demands  from  Labour  to  explain  his  proposal  to  use  the  Army  to  support  police  amid  the  new  #COVID19  lockdown  rules  https://t.co/JShNbQfqkU
1	An  independent  #CODECHECK  review  @StephenEglen  confirmed  that  the  Imperial  #COVID19  Report  9  code  is  reproducible  as  scripts  and  documentation  are  published  🔰https://t.co/0SW9DsFsIM
1	RT  @PIB_India:  #CoronaWatch  ◾  3936747  total  confirmed  cases  ◾  3037151  cases  cured/recovered  ◾  46679145  samples  tested  Here's  the…
0	Leicester  wants  lockdown  rules  translated  into  indecipherable  slang  https://t.co/Lkm47MD9aF
1	Our  total  number  of  confirmed  cases  is  now  1163.  We  have  9  active  cases  in  NZ.  One  significant  cluster  in  NZ  remains  open  –  the  St.  Margaret’s  rest  home  in  Auckland.  Our  combined  total  of  confirmed  and  probable  cases  is  now  1513.
0	A  Facebook  post  claims  that  Bill  Gates  ordered  the  Italian  government  to  impose  a  second  national  lockdown  by  October  1st.
