,data,label
0,"For example, our portfolio companies have set a target of 100 per cent utilisation of Variable Rate Technology (VRT) for fertiliser application, to reduce both environmental impact and production costs.",sustainable
1,We continue to increase the percentage of renewable electricity we procure (avoiding over 19 tCO2e).,sustainable
2,"Acea Ambiente, the Group Company operating in the circular-economy sector, contributed to the annual event, with a conference on the topic of recovery of the organic fraction from the waste processing chain, on the opportunities and goals of the new centralised composting and anaerobic digestion plants, including biomethane production, and on research projects underway into “Utilising compost for precision farming” and their integration with Companies in the agricultural sector at a regional and national level.",sustainable
3,Carbon intensity is measured as tons of CO2 per million dollars of revenue.,unsustainable
4,"More circular, efficient production and transportation methods provide advantage in tendering processes.",unsustainable
5,"Natural capital is made up of diverse living creatures and the water, soil, and air that sustain them.",unsustainable
6,"While markets have anticipated some climate legislation coming into force, namely in select sectors directly impacted by energy transition, we do not see widespread evidence of dislocation in valuations across the broader economy.",unsustainable
7,The aim is to reduce the KBC Group’s Scope 3 emissions relating to this portfolio.,sustainable
8,"We are striving to reduce the amount of waste we produce, and to reduce water as well as paper consumption.",sustainable
9,"On joining the Net-Zero Asset Owner Alliance in 2019, CNP Assurances pledged to achieve carbon neutrality in its investment portfolio by 2050.",sustainable
10,All employees are allowed two days per year from their paid working time to engage in volunteering work.,sustainable
11,"Globally, we recycled over 42,000 metric tons of paper in 2015.",sustainable
12,"According to the IEA the power sector was responsible for 41% of global energy-related CO2 emissions in 2019, making it one of the most material sectors in the shift to a low-carbon economy.",unsustainable
13,"Precision agriculture (PA) is a new approach making use of digital innovations such as artificial intelligence, drones, intelligent sensors, mobile applications and satellite technologies.",unsustainable
14,"The company has reduced its carbon footprint by 50% since 2018, and reduced carbon intensity by 46% over the same period.*",sustainable
15,"To achieve the Paris target depends on whether the world is able to quickly deploy large amounts of private capital to construct renewable energy infrastructure, provide low-carbon transport and improve energy efficiency.",unsustainable
16,"Data on incoming waste includes waste sent for anaerobic and aerobic treatment at the Orvieto landfill and waste processed for the production of compost (sludge, green, OFMSW and other agri food waste).",unsustainable
17,"In addition, to reduce the amount of plastic garbage generated by our clients, the entire Group is promoting the use of graphan, a pulp material that can be disposed of without separation, as the material for the window portion of window envelopes used in business operations and for sending mail to clients.",sustainable
18,"We report our GHG emissions according to the GHG Protocol’s “Scope 2 Guidance: an amendment to the Corporate Standard,” released in January 2015.",unsustainable
19,Food waste typically (but not exclusively) takes place during the retail and consumption stages of the food supply chain.,unsustainable
20,"We follow a carbon neutrality strategy, seek to use resources efficiently and work to deliver sustainable value for society.",sustainable
21,"In 2019, air travel accounted for about 38 percent of our own carbon footprint.",unsustainable
22,"In that sense, GHG emissions for AUM are decidedly different than Scope 1 and 2 emissions (as well as many categories of Scope 3 emissions) reported by companies, where the metric reflects activities that directly result in the release of emissions into the atmosphere.",unsustainable
23,The recycling rate is calculated by dividing consumption for each scal year by the amount of recycled waste.,unsustainable
24,"This equates to 1,733 tCO2e and is a new source of Scope 3 emissions.",unsustainable
25,"Scope 1 emissions estimated from building equipment utilizing fossil fuels to provide ventilation, heating and air conditioning based on square footage of leased properties.",unsustainable
26,"Biogenic emissions (Scope 3), if present, are not being recorded.",unsustainable
27,"Waste sorting and recycling systems have been rolled out extensively across our buildings, for paper, plastic, aluminum, batteries, cartridges, etc.",sustainable
28,"Circular economy systems promote the reuse, refurbishment and recycling of products and assets, while minimizing emissions, waste and resource use.",unsustainable
29,"Data covers all locations, presently with 88% of our carbon emissions from actual metered or invoiced data.",unsustainable
30,"The energy industry – especially electricity and heat production – is the biggest contributor to GHG emissions in the EU, and decarbonising both energy supply and demand will be key in the transition to carbon neutrality.",unsustainable
31,"The robustness of this strategy is reviewed through analysis of, among others: capital expenditure budgets, market conditions surrounding future investments and management commitment to energy transition alignment.",unsustainable
32,The destruction of biodiversity is expressed in negative values of m2.MSA.,unsustainable
33,The growing economic thesis around low carbon solutions and sustainable business models is reshaping industries and markets.,unsustainable
34,Employees are able to voluntarily downgrade their travel class and invest the savings in a Carbon Offsetting Fund Providing commuters public transportation benefits in large metro areas,sustainable
35,"As a large UK housebuilder, we will enable all new homes we build from 2030 to operate with net zero carbon emissions.",sustainable
36,We are developing the necessary optic fiber networks to reduce digital access discrepancies across Europe and supporting the development of connected cities.,sustainable
37,"The Company has also prepared a preparatory document for the supply and transport of water within the territory of OTA 2, with a view to the strategic value and resilience of the infrastructure, environmental protection and the maximisation of effectiveness and efficiency for the service provided to citizens.",sustainable
38,We are committed to investing in low-carbon strategies and demonstrating strong engagement on ESG themes.,sustainable
39,"In the new office, we promoted paperless operations by reducing storage space such as cabinets, and actively used products made from recycled materials.",sustainable
40,"We are a global leader in administering green bonds, debt securities that fund projects with environmental benefits, such as clean transportation or renewable energy projects.",sustainable
41,"Career development at State Street is employee-driven, manager-enabled, and company-supported.",sustainable
